Minuto,Arduino_1,Arduino_2,Hobo_1,Hobo_2
58,-13.41,-14.095,-12.454,-12.83783333
59,-13.3,-13.988,-12.35533333,-12.7385
60,-13.175,-13.845,-12.24483333,-12.63283333
61,-13.0625,-13.735,-12.135,-12.528
62,-12.925,-13.58,-12.031,-12.417
63,-12.81,-13.2825,-11.72216667,-12.019
64,-12.952,-13.114,-11.668,-11.867
65,-13.2375,-13.06,-11.82466667,-11.97016667
66,-13.5325,-13.06,-12.1045,-12.20216667
67,-13.86,-13.16,-12.417,-12.50333333
68,-14.2025,-13.265,-12.73233333,-12.80066667
69,-14.5025,-13.455,-13.08816667,-13.13833333
70,-14.864,-13.688,-13.40316667,-13.45383333
71,-15.2025,-13.9075,-13.734,-13.75966667
72,-15.47,-14.1275,-14.023,-14.0425
73,-15.7375,-14.345,-14.31416667,-14.32066667
74,-15.985,-14.5475,-14.569,-14.58866667
75,-16.248,-14.802,-14.81916667,-14.81916667
76,-16.485,-15.0325,-15.05083333,-15.05733333
77,-16.655,-15.25,-15.27783333,-15.27783333
78,-16.846,-15.452,-15.48583333,-15.4725
79,-16.81,-15.595,-15.587,-15.57366667
80,-16.6725,-15.675,-15.51966667,-15.47916667
81,-16.5,-15.714,-15.42533333,-15.365
82,-16.325,-15.75,-15.30466667,-15.26433333
83,-16.1875,-15.75,-15.164,-15.144
84,-15.988,-15.75,-15.03066667,-15.03733333
85,-15.8125,-15.705,-14.89183333,-14.93816667
86,-15.675,-15.675,-14.75966667,-14.82566667
87,-15.53,-15.63,-14.60166667,-14.70666667
88,-15.364,-15.56,-14.45116667,-14.60833333
89,-15.22,-15.5,-14.301,-14.4905
90,-15.095,-15.425,-14.15866667,-14.37266667
91,-14.97,-15.345,-14.023,-14.2685
92,-14.845,-15.265,-13.88116667,-14.14583333
93,-14.705,-15.175,-13.74683333,-14.023
94,-14.576,-15.076,-13.60633333,-13.91983333
95,-14.425,-14.97,-13.4855,-13.80416667
96,-14.3125,-14.895,-13.35866667,-13.69566667
97,-14.19,-14.78,-13.239,-13.581
98,-14.0775,-14.69,-13.12566667,-13.47266667
99,-13.952,-14.588,-13.01266667,-13.37116667
100,-13.845,-14.47,-12.89416667,-13.27066667
101,-13.735,-14.3775,-12.788,-13.16333333
102,-13.6275,-14.28,-12.67633333,-13.06283333
103,-13.5,-14.16,-12.565,-12.9565
104,-13.364,-14.062,-12.46016667,-12.86266667
105,-13.235,-13.925,-12.3615,-12.75716667
106,-13.1275,-13.8125,-12.24483333,-12.65766667
107,-13.015,-13.6875,-12.15933333,-12.55883333
108,-12.88,-13.4075,-11.87316667,-12.2145
109,-12.985,-13.22,-11.74,-11.952
110,-13.238,-13.142,-11.87316667,-12.01883333
111,-13.58,-13.16,-12.11666667,-12.2265
112,-13.8925,-13.235,-12.42933333,-12.5095
113,-14.2525,-13.3775,-12.77583333,-12.84433333
114,-14.58,-13.5475,-13.1195,-13.18233333
115,-14.926,-13.752,-13.473,-13.5045
116,-15.2825,-13.985,-13.798,-13.82366667
117,-15.595,-14.22,-14.107,-14.13283333
118,-15.845,-14.47,-14.39233333,-14.4185
119,-16.0925,-14.6575,-14.6805,-14.68716667
120,-16.362,-14.914,-14.9315,-14.938
121,-16.6075,-15.1575,-15.164,-15.184
122,-16.795,-15.345,-15.40533333,-15.40533333
123,-16.846,-15.538,-15.56683333,-15.56683333
124,-16.72,-15.66,-15.5265,-15.50633333
